"industry","company_count"
Business Products & Services,492
Advertising & Marketing,489
Software,461
Health,356
Construction,350
Consumer Products & Services,315
IT Management,276
Financial Services,239
Government Services,236
Real Estate,198
Logistics & Transportation,186
Manufacturing,181
Retail,163
Human Resources,157
Food & Beverage,127
IT System Development,120
Engineering,81
Telecommunications,79
Energy,78
Insurance,70
Education,70
Security,67
Travel & Hospitality,57
Media,46
Environmental Services,43
IT Services,43
Computer Hardware,32
